category,image,model_name,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,human_entropy,human_center_distance,human_num_peaks,delta_entropy,delta_center_distance,delta_num_peaks
Action,1,samresnet,12.916919708251951,241.95058203220916,59,3.282977104187012,0.8417847097827653,0.9174206256866456,5.995593070983887,212.024395238429,6,6.921326637268065,29.926186793780147,53
Action,3,samresnet,13.479214668273926,319.67054272181105,268,2.226107597351074,0.7213289007076706,0.8881089687347412,6.1447625160217285,293.942736762231,9,7.334452152252197,25.727805959580053,259
Action,5,samresnet,12.71644401550293,236.6020354009552,1,3.426622152328491,0.842385363057069,0.9048756957054138,6.105237483978272,231.9127995310304,3,6.611206531524657,4.689235869924801,2
Action,7,samresnet,13.32837200164795,269.57982447358927,117,2.2365076541900635,0.7425683879507904,0.8893171548843384,6.093632221221924,259.8242327594318,4,7.234739780426025,9.755591714157447,113
Action,9,samresnet,13.326401710510254,288.23420982783546,143,2.8408896923065186,0.7769211270896174,0.8972207307815552,6.0848565101623535,249.83634329473895,3,7.2415452003479,38.397866533096504,140
Action,11,samresnet,12.941319465637209,263.72123718684884,24,3.1090478897094727,0.8194604415797421,0.887662410736084,6.182762145996094,296.4516358318374,1,6.758557319641115,32.730398644988554,23
Action,13,samresnet,13.204822540283203,263.67111702218574,16,1.9096533060073853,0.6649479951687449,0.8738269209861755,6.144759178161621,286.7569026690232,6,7.060063362121582,23.08578564683745,10
Action,15,samresnet,13.098368644714355,253.6895784746716,53,3.0458950996398926,0.8432485572977683,0.8773564696311951,6.15849494934082,252.72841279822467,1,6.939873695373535,0.9611656764469387,52
Action,17,samresnet,13.327624320983888,278.42621684868953,116,2.187198638916016,0.690830107774471,0.8836380839347839,6.081904411315918,288.4097010623457,2,7.2457199096679705,9.98348421365614,114
Action,19,samresnet,13.441376686096191,289.6337625349061,57,2.111771821975708,0.7751666876412396,0.8816042542457581,6.216770648956299,310.8184523770433,4,7.224606037139893,21.184689842137175,53
Action,21,samresnet,13.62027645111084,369.8356470862728,504,1.970974326133728,0.757902645908174,0.8787697553634644,6.309901714324951,324.26974767736453,8,7.310374736785889,45.56589940890825,496
Action,23,samresnet,13.339714050292969,308.6080017633307,301,2.362511396408081,0.762857857158419,0.887813150882721,6.216769695281982,330.2504069458908,5,7.122944355010986,21.642405182560083,296
Action,25,samresnet,13.38981819152832,310.6163186156485,223,2.106983184814453,0.7403023632229802,0.8637157678604126,6.3028645515441895,327.8002343050386,4,7.086953639984131,17.18391568939012,219
Action,27,samresnet,13.44876194000244,291.72559713675656,118,2.03517484664917,0.7254542951583319,0.8618848919868469,6.279018878936768,316.897114360546,3,7.169743061065672,25.171517223789465,115
Action,29,samresnet,13.143121719360352,247.55606747044652,67,2.674543857574463,0.8113421313237896,0.8877959251403809,6.219345569610596,278.6683528366335,1,6.923776149749756,31.112285366186995,66
Action,31,samresnet,13.40684986114502,309.88278045290485,7,2.319838523864746,0.8086987096191062,0.8951950073242188,6.169359683990479,316.246268969327,6,7.23749017715454,6.363488516422137,1
Action,33,samresnet,13.019156455993652,251.2317164578313,40,2.852163791656494,0.7760623678548565,0.9135063886642456,5.972774982452393,240.0858097044475,4,7.04638147354126,11.145906753383798,36
Action,35,samresnet,13.520886421203612,331.57389335532235,127,1.9402145147323608,0.754153572166408,0.854132890701294,6.11953592300415,321.1261567079724,4,7.401350498199461,10.447736647349927,123
Action,37,samresnet,13.339218139648438,263.4053211756153,104,2.351844310760498,0.7885974826089317,0.909000277519226,6.017910957336426,281.483598879608,4,7.321307182312012,18.078277703992683,100
Action,39,samresnet,13.042520523071287,223.514539111902,113,2.680649280548096,0.8255463905509597,0.921923279762268,6.070042133331299,222.39308615222825,6,6.9724783897399885,1.1214529596737464,107
Action,41,samresnet,12.53923511505127,161.00352508552947,1,3.974806070327759,0.8385416566757912,0.9330455660820008,5.718057632446289,176.79059151302312,1,6.8211774826049805,15.787066427493642,0
Action,43,samresnet,12.793662071228027,222.60082822430988,100,2.905801057815552,0.8052077634581806,0.9308096170425416,5.784222602844238,226.5909796690977,4,7.009439468383789,3.990151444787813,96
Action,45,samresnet,12.732730865478516,199.75799908440047,5,4.2289862632751465,0.8724844124792285,0.9340368509292604,5.995590686798096,197.70243489133944,1,6.73714017868042,2.0555641930610307,4
Action,47,samresnet,12.58593463897705,191.3926473268104,90,4.3724565505981445,0.8227499393414429,0.956221044063568,5.735025882720947,177.9517760586045,1,6.8509087562561035,13.440871268205882,89
Action,49,samresnet,12.518238067626951,169.27543603315354,29,4.457514762878418,0.8776385855274372,0.9248440861701964,6.030421257019043,178.49665352475114,2,6.487816810607908,9.2212174915976,27
Action,51,samresnet,13.218986511230469,245.59371454908225,204,1.9201068878173828,0.733223922739103,0.8683356046676636,6.239651679992676,278.981198630439,6,6.979334831237793,33.387484081356746,198
Action,53,samresnet,13.140925407409668,235.82980430234204,32,2.716430425643921,0.8161625785538227,0.8725429177284241,6.193355083465576,259.0174349161835,4,6.947570323944092,23.187630613841463,28
Action,55,samresnet,13.30549144744873,264.05921275848215,172,2.080816984176636,0.7533534176800467,0.8917075991630554,6.269325733184815,260.4011218420249,3,7.036165714263915,3.6580909164572404,169
Action,57,samresnet,13.36741828918457,260.9489717531977,530,2.198833465576172,0.8239587072917439,0.8713955879211426,6.211607933044434,272.9033050843482,3,7.155810356140137,11.954333331150451,527
